time,open,high,low,close,EMA,EMA
1709303400,59.62,60.98,59.62,60.81,58.48711660197882,59.88077908771159
1709562600,62.07,62.07,60.41,60.53,58.567229676411024,59.998819253582205
1709649000,60.92,60.94,59.2,59.46,58.60224027733608,59.90085211656726
1709735400,61.23,61.23,59.94,60.17,58.66372105077388,59.94978809537321
1709821800,62.4,62.4,60.97,61.21,58.76357512721412,60.178917532578076
1709908200,63.5,63.5,61.09,61.48,58.87010159281356,60.41547798120024
1710163800,62.71,62.71,61.63,61.74,58.9826466283895,60.65630016643656
1710250200,61.83,62.17,60.65,60.89,59.057444799825205,60.698791045266276
1710336600,63.16,63.16,61.2,61.35,59.147348925322255,60.81719267339968
1710423000,61.26,61.26,57.76,58.42,59.118825438054714,60.381339460054285
1710509400,59.28,59.41,58.29,59,59.11416561695453,60.130186830953505
1710768600,58.85,59.13,57.6,57.6,59.05478657315239,59.67015286168923
1710855000,58.52,59.1,58.52,58.89,59.0483243545974,59.528306886836646
1710941400,59.46,62.39,59.04,62.14,59.16956653677005,60.003160180139076
1711027800,64.53,64.53,62.82,63.31,59.33193647650456,60.60440378375015
1711114200,63.72,63.72,61.15,61.31,59.40950759507301,60.73269400488649
1711373400,63.24,63.24,60.63,60.63,59.457370042325046,60.7140223676344
1711459800,62.59,62.59,60.25,60.27,59.489237883802495,60.63329102806451
1711546200,62.57,64.37,62.57,64.33,59.67907169228083,61.305419932052786
1711632600,65.62,65.87,65.28,65.47,59.90616692003452,62.06261630804319
1711978200,65.47,65.47,63.67,63.72,60.0557290016018,62.36395879748988
1712064600,62.21,62.24,60.67,61.3,60.10452394271545,62.17051174340081
1712151000,61.2,62.13,61.11,61.27,60.15022888613838,62.006782335509754
1712237400,64.06,64.08,60.36,60.73,60.1729650082506,61.7746400926898
1712323800,60.83,61.42,60.42,60.53,60.186966380476065,61.548341894018925
1712583000,61.77,62.38,61.56,61.56,60.24081083614367,61.55046154965185
1712669400,63.65,63.65,62.13,63.06,60.35136727394196,61.82492308607878
1712755800,59.23,59.62,57.06,57.71,60.2477842435913,61.07675525224628
1712842200,58.77,58.88,57.09,58.14,60.16512603796026,60.54279975183786
1712928600,58.7,58.7,54.62,55.06,59.96492501686378,59.545927069685526
1713187800,57.11,57.11,52.58,52.98,59.691006388751475,58.35212214792452
1713274200,51.36,52.32,50.67,51.48,59.3690061382122,57.102645393756426
1713360600,53.78,53.78,50.16,50.16,59.00786864259604,55.84034623125525
1713447000,51.28,51.8,49.84,49.89,58.6503051664158,54.75846509829975
1713533400,51.59,52.3,50.99,52.18,58.396567708909295,54.28965326224525
1713792600,53.49,54.97,52.49,53.77,58.21513368110893,54.19517085092794
1713879000,57.03,57.73,56.69,56.71,58.156108830869364,54.652412514395586
1713965400,56.98,56.98,55.15,56.06,58.07390848456076,54.90833751177821
1714051800,53.62,54.78,53.52,54.35,57.92787285771524,54.8068216005458
1714138200,56.36,56.36,54.98,54.98,57.81227000054994,54.838308582264744
1714397400,57.3,57.3,55.67,55.97,57.74002411817543,55.04407065821661
1714483800,55.7,55.7,52.71,52.87,57.54904278020776,54.648785083995406
1714570200,53.86,56.5,53.4,53.72,57.39888423980746,54.479915068723514
1714656600,56.09,56.64,54.77,56.37,57.35853583824638,54.82356687441015
1714743000,60.3,60.3,57.86,58.14,57.389181491648486,55.426554715426484
1715002200,60.65,60.65,59.47,59.9,57.48764496256423,56.23990840353076
1715088600,61.23,61.26,59.88,59.88,57.58146280716956,56.90174323925244
1715175000,59.96,59.98,59.47,59.91,57.672777991202125,57.44869901393381
1715261400,61.12,61.53,60.79,61.37,57.817767089586354,58.16166282958221
1715347800,62.35,62.35,60.19,60.54,57.92452132136728,58.594087769658174
1715607000,62.53,63.26,60.97,60.99,58.04473617150974,59.02970817517487
1715693400,62.76,62.76,62.09,62.38,58.21474651772505,59.63885214332489
1715779800,64.17,64.17,63.19,63.65,58.427893713108375,60.368151753629455
1715866200,64,64.3,63.56,64.1,58.65032925377079,61.04666961660592
1715952600,64.6,64.72,64.08,64.37,58.874630067348406,61.65091150449575
1716211800,64.69,64.69,63.74,63.77,59.06660535882494,62.036200321860164
1716298200,64.16,64.16,62.43,63.15,59.22673848200827,62.238709354249224
1716384600,63.26,63.53,61.57,61.94,59.33314089447854,62.184398562567544
1716471000,61.29,61.29,57.4,57.71,59.26948831038134,61.37087155119163
1716557400,59.15,59.31,58.43,59.22,59.26754759232717,60.97980399642951
1716903000,60.63,60.63,57.86,58.36,59.23195749066728,60.50347599707869
1716989400,55.94,56.03,55.08,55.09,59.06952778515091,59.51920763397347
1717075800,56.93,57.52,56.38,56.83,58.981703166125385,59.03026079143284
1717162200,59.28,59.28,57.58,58.82,58.975361865493014,58.99203155662687
1717421400,59.53,59.53,57.16,58.11,58.94142610606192,58.831662182694714
1717507800,57.85,57.85,56.01,56.01,58.82646821954969,58.31863269493204
1717594200,56.9,57.62,56.7,57.62,58.77915574035166,58.19160856858076
1717680600,58.2,58.2,56.56,57.07,58.712130025043756,57.98767973792972
1717767000,55.51,56.46,54.3,54.67,58.553615122100865,57.384465240124314
1718026200,53.63,54.66,53.62,54.48,58.39386550946946,56.8563806510108
1718112600,53.28,53.84,52.72,53.45,58.199988430666735,56.23703871446338
1718199000,58.73,58.82,56.09,56.24,58.12312613926804,56.237577130015495
1718285400,55.74,55.74,52.92,54.03,57.96261138870851,55.83619947001268
1718371800,50.75,51.15,50.42,51.15,57.695450157778765,54.98416320273765
1718631000,51.15,52.07,50.06,52.06,57.47445211237568,54.45249716587626
1718717400,53.18,53.18,51.31,51.31,57.23270889228252,53.88113404480785
1718890200,51.44,51.55,50.51,50.79,56.98005364160477,53.319109673024606
1718976600,51.09,51.27,50.24,51.26,56.75573781252223,52.94472609611104
1719235800,52.38,53.63,52.21,52.28,56.580218682619396,52.823866805909034
1719322200,51.94,51.94,50.59,50.65,56.347661087222555,52.42861829574375
1719408600,50.36,51.03,49.71,50.96,56.13638026027265,52.16159678742671
1719495000,52.25,52.75,51.49,52.75,56.00358103437961,52.26857918971276
1719581400,54.69,54.69,52.83,54.28,55.93598962126668,52.63429206431044
1719840600,55.37,55.37,51.9,51.96,55.780068459648376,52.51169350716309
1719927000,52.41,52.86,51.87,52.51,55.65183048083863,52.5113855967698
1720013400,53.73,54.73,52.23,52.39,55.52391556002143,52.4893154882662
1720186200,51.73,51.76,50.87,51.3,55.358271812569605,52.27307630858144
1720445400,52.87,53.33,51.74,52,55.22657487874334,52.22342607065754
1720531800,51.97,52.79,50.91,51.79,55.091807236439685,52.14462133053799
1720618200,52.86,54.19,52.28,54.18,55.05605008991264,52.51469017953108
1720704600,57.64,59.98,57.64,59.88,55.245224596190575,53.85383741961634
1720791000,62.56,63.36,61.93,61.96,55.50854912183016,55.32768516150428
1721050200,62.98,64.59,62.98,63.53,55.82311582293486,56.81901513213986
1721136600,66.22,68.74,66.22,68.7,56.32809167301585,58.979194199023524
1721223000,69.43,69.43,67.52,67.81,56.77836258779954,60.58479525374652
1721309400,69.03,69.47,64.84,64.97,57.09960327063093,61.38210520761079
1721395800,64.86,64.86,62.93,62.96,57.32942275021403,61.66899516986337
1721655000,64.39,65.26,62.81,65.21,57.63846499530367,62.31281422988821
1721741400,65.11,65.84,65.01,65.45,57.944799701370194,62.88321164263581
1721827800,64.63,65.38,62.5,62.51,58.12382716406156,62.815354980338384
1721914200,63.8,65.99,63.8,64.34,58.367598647823854,63.092563165731406
1722000600,66.95,66.98,65.63,66.39,58.682202622419,63.692097135598424
1722259800,66.98,67.15,64.92,65.66,58.95584173526531,64.04989765639871
1722346200,66.52,66.52,65.26,65.73,59.22149500054902,64.35537080978077
1722432600,66.7,68.37,66.32,66.71,59.51516186327259,64.78348520800245
1722519000,66.5,66.5,60.85,61.89,59.608292770595234,64.25739698836564
1722605400,55.04,56.88,54.9,55.78,59.4581636423366,62.71605208139007
