time,open,high,low,close,EMA,EMA,Plot,Plot,Plot,Shapes,Shapes
1719927000,543.7,549.01,543.65,549.01,541.3663735930965,545.0369479249065,-40,,,0,1
1720013400,548.69,551.83,548.65,551.46,542.3276713461349,546.2047755749235,-40,,,0,1
1720186200,551.77,555.05,551.12,554.64,543.5002740750745,547.7384527431192,-43,,,0,1
1720445400,555.44,556.2501,554.19,555.28,544.6221527345912,549.1096431534611,16,,,0,0
1720531800,556.26,557.18,555.52,555.82,545.6886143789159,550.32970803465,-23,,,0,1
1720618200,557.07,561.67,556.77,561.32,547.1773177714001,552.327942937441,-6,,,0,1
1720704600,561.44,562.33,555.83,556.48,548.0632875074573,553.0828624033608,108,,,1,0
1720791000,557.63,563.67,557.15,559.99,549.1991648876995,554.3387056027498,140,,,1,0
1721050200,562.03,564.8371,559.63,561.53,550.37353013649,555.646213674977,181,,,1,0
1721136600,562.865,565.16,562.1,564.86,551.7531939330147,557.321447552254,270,,,1,0
1721223000,558.8,560.51,556.61,556.94,552.2471754632038,557.2520934518442,229,,,1,0
1721309400,558.51,559.52,550.43,552.66,552.2864920857559,556.4171673696907,138,,,1,0
1721395800,552.42,554.08,547.91,548.99,551.9725404585411,555.0667733024742,6,,,0,0
1721655000,553,555.27,551.02,554.65,552.2275366053467,554.990996338388,63,,,0,0
1721741400,554.54,556.735,553.275,553.78,552.3753902619803,554.7708151859538,190,,,1,0
1721827800,548.86,549.17,540.29,541.23,551.3139245227441,552.3088487885076,105,,,1,0
1721914200,541.35,547.455,537.45,538.41,550.0849793301018,549.7817853724152,143,,,1,0
1722000600,542.28,547.19,541.49,544.44,549.5473622510444,548.8105516683397,158,,,1,0
1722259800,546.02,547.05,542.72,544.76,549.0914229890402,548.0740877286415,89,,,1,0
1722346200,546.26,547.34,538.515,542,548.4160493710364,546.9697081416158,78,,,1,0
1722432600,548.98,553.5,547.5799,550.81,548.644044669033,547.6679430249584,133,,,1,0
1722519000,552.57,554.8688,539.43,543.01,548.1074689862679,546.8210442931478,-6,,,0,1
1722605400,535.75,536.99,528.6,532.9,546.6591386066234,544.2899453307573,-90,,,0,1
1722864600,511.64,523.58,510.27,517.38,543.8706492155164,539.3972279978923,-216,,,0,1
1722951000,519.22,529.75,517.87,522.15,541.8020159568958,536.2613683619119,-40,,,0,1
1723037400,528.47,531.59,518.0519,518.66,539.5980144371915,533.061119568837,-61,,,0,1
1723123800,523.91,531.29,521.84,530.65,538.7458225860304,532.6227341926848,-60,,,0,1
1723210200,529.81,534.51,528.56,532.99,538.1976490064085,532.6895097940148,-34,,,0,1
1723469400,534.21,535.73,530.95,533.27,537.7283491010362,532.7950534678304,-46,,,0,1
1723555800,536.53,542.28,536.28,542.04,538.1389825199851,534.4759528373157,-11,,,0,1
1723642200,542.85,544.96,540.12,543.75,538.6733651371294,536.162143230531,-5,,,0,1
1723728600,549.5,553.36,548.88,553.07,540.0444732193075,539.236299006798,51,,,0,0
1723815000,551.42,555.02,551.26,554.31,541.4030948174687,541.976971914653,38,,,0,0
1724074200,554.73,559.61,553.86,559.61,543.1370857872337,545.1829770210796,70,,,0,0
1724160600,559.15,560.84,557.325,558.7,544.6192680932114,547.6406175627016,37,,,0,0
1724247000,559.77,562.11,554.73,560.62,546.1431473224294,550.000505278574,55,,,0,0
1724333400,562.56,563.18,554.98,556.22,547.1028475774361,551.1313225006514,49,,,0,0
1724419800,559.53,563.09,557.29,562.13,548.5340049510137,553.1310820459876,114,,,1,0
1724679000,563.18,563.91,559.05,560.79,549.7012425747266,554.5236125830808,116,,,1,0
1724765400,559.49,562.06,558.32,561.56,550.8306480438002,555.8029557497933,30,,,0,0
1724851800,561.21,561.65,555.04,558.3,551.5420148967717,556.2569637952854,23,,,0,0
1724938200,560.31,563.68,557.18,558.35,552.1903944304124,556.6375158325062,55,,,0,0
1725024600,560.77,564.2,557.14,563.68,553.284642579897,557.9179674993233,61,,,0,0
1725370200,560.47,560.81,549.51,552.08,553.1699147151448,556.8565188630827,-7,,,0,1
1725456600,550.2,554.43,549.46,550.95,552.9584942660834,555.7826063425222,-31,,,0,1
1725543000,550.89,553.7995,547.1,549.61,552.639590050266,554.6603142802454,-16,,,0,1
1725629400,549.94,551.6,539.44,540.36,551.470105283574,552.0602571383827,-59,,,0,1
1725888600,544.65,547.71,542.68,546.41,550.9881904946621,551.0329376586767,-35,,,0,1
1725975000,548.36,549.15,543.38,548.79,550.7788390189801,550.6251308116446,-34,,,0,1
1726061400,548.7,555.36,539.96,554.42,551.1256162552677,551.3151070277091,-26,,,0,1
1726147800,555.01,559.4,552.74,559.09,551.8841289928613,552.728723931762,40,,,0,0
1726234200,559.71,563.03,559.45,562.01,552.8484976602078,554.4162286714417,92,,,1,0
1726493400,561.74,563.11,559.9,562.84,553.8000693116167,555.9478234584523,96,,,1,0
1726579800,565.1,566.58,560.795,563.07,554.6829198533675,557.2427646478246,114,,,1,0
1726666200,563.74,568.69,560.83,561.4,555.3226417720944,557.9986256209475,140,,,1,0
1726752600,571.01,572.88,568.08,570.98,556.8138187461806,560.358875508048,130,,,1,0
1726839000,567.84,569.31,565.17,568.25,557.902978865592,561.7936254156756,73,,,1,0
1727098200,569.34,570.3325,568.1,569.67,559.0236475450594,563.2256935219164,38,,,0,0
1727184600,570.48,571.36,567.6,571.3,560.1928239693394,564.6937492452042,56,,,0,0
1727271000,571.14,571.89,568.91,570.04,561.1306502579738,565.6657948369852,19,,,0,0
1727357400,574.38,574.71,569.9,572.3,562.1943978524524,566.8720139575333,50,,,0,0
1727443800,573.39,574.22,570.42,571.47,563.0777885331712,567.7080114198,48,,,0,0
1727703000,570.42,574.38,568.08,573.76,564.0951420062025,568.8083729798363,57,,,0,0
1727789400,573.4,574.0622,566,568.62,564.5260808627547,568.7741233471388,19,,,0,0
1727875800,567.71,569.9,565.27,568.86,564.9388350663019,568.7897372840226,19,,,0,1
1727962200,567.36,569.8025,565.49,567.82,565.213231726654,568.6134214142004,-2,,,0,1
1728048600,572.35,573.36,568.1,572.98,565.9529239431632,569.4073447934367,56,,,0,0
1728307800,571.3,571.9599,566.63,567.8,566.1288359485762,569.115100285539,29,,,0,0
1728394200,570.42,573.78,569.5299,573.17,566.7994230010928,569.8523547790774,16,,,0,0
1728480600,573.16,577.71,572.55,577.14,567.7842398581316,571.1773811828815,34,,,0,1
1728567000,575.77,577.58,574.49,576.13,568.5790741573572,572.0778573314485,-18,,,0,1
1728653400,576.05,580.33,575.91,579.58,569.6267813804661,573.4418832711851,99,,,1,0
1728912600,581.22,585.27,580.73,584.32,571.0261355347075,575.4197226764242,120,,,1,0
